,name,close_approach_date,miss_distance_km,relative_velocity_kmh,is_potentially_hazardous,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,is_sentry_object
5708,(2013 AK20),2024-01-06,39773989.22219454,33449.0167383958,False,23.19,61.1723235067,136.7854737026,False
5709,(2013 EU9),2024-01-06,68747709.96981454,23244.7020210603,False,21.66,123.7527836584,276.719636665,False
5710,(2016 JX5),2024-01-06,32857831.15019332,47409.8201474422,False,26.9,11.0803882126,24.7765012606,False
5711,(2017 PM26),2024-01-06,32274818.88474144,67006.5424308666,False,21.28,147.4195145042,329.6400556414,False
5712,(2017 YZ1),2024-01-06,72151871.79421762,44018.2595059564,True,20.43,218.0494404829,487.5733713755,False
5713,(2021 EU4),2024-01-06,43483069.129521914,48806.5481244749,False,24.66,31.0852938133,69.5088300671,False
5714,(2021 MQ1),2024-01-06,20330046.370610718,77270.3508057131,False,23.05,65.2461629789,145.8948556919,False
5715,585310 (2017 YZ1),2024-01-06,72151856.23603913,44018.2553543482,True,20.41,220.0670271147,492.0848322348,False
5716,591179 (2013 EU9),2024-01-06,68747717.67410485,23244.7048088382,False,21.66,123.7527836584,276.719636665,False
5717,(2021 UO1),2024-01-06,62463681.30280699,48600.390963496,False,28.03,6.5849878292,14.7244804171,True
5718,(2023 MB3),2024-01-06,54712164.16199074,46861.3592628214,False,30.0,2.658,5.9434686842,True
5719,(2023 UE4),2024-01-06,30231428.81647791,30474.7461624521,False,21.66,123.7527836584,276.719636665,False
5720,(2024 AC),2024-01-06,2314264.029273852,24436.4638807862,False,25.5,21.113244479,47.2106498806,False
5721,(2023 YX1),2024-01-06,3877187.626500982,51523.5339034366,False,24.86,28.3501249023,63.3928064522,False
5722,(2024 AH1),2024-01-06,3441304.746515805,34732.8834290542,False,25.84,18.053232555,40.3682552065,False
5723,(2024 AV3),2024-01-06,4674438.11895243,49762.1209539445,False,25.78,18.5590173004,41.4992242792,False
5724,(2024 BR),2024-01-06,30486662.87369185,68918.5793084036,False,21.67,123.1841912659,275.4482254239,False
5725,138971 (2001 CB21),2024-01-05,60967071.28483581,33517.4504731584,True,18.52,525.4785303417,1175.0057145608,False
5726,(2007 SG11),2024-01-05,41770289.11229606,21130.5453762448,False,22.68,77.3668609982,172.9975603978,False
5727,(2013 YD),2024-01-05,61854464.77133592,95388.94889847,False,23.6,50.6471458835,113.2504610618,False
5728,(2016 RW19),2024-01-05,49525995.352507204,55636.6868556782,False,20.97,170.0415192713,380.2243960879,False
5729,(2017 YA8),2024-01-05,70732063.0488168,74295.3517022466,False,22.33,90.8981358201,203.2544107219,False
5730,(2020 BT8),2024-01-05,60145232.97622988,32809.7259574529,False,22.66,78.0827277491,174.5982871157,False
5731,(2020 JB1),2024-01-05,29196034.17788345,29836.407506762,False,26.4,13.9493822934,31.1917670523,False
5732,(2021 QC3),2024-01-05,71698045.11347933,65428.143420128,False,24.24,37.7185489265,84.3412394123,False
5733,(2023 KF5),2024-01-05,55087443.40398086,51299.9383417686,False,26.45,13.6318555865,30.4817557509,False
5734,(2023 OG5),2024-01-05,72038821.29720987,55324.8986595102,False,24.2,38.4197891064,85.9092601232,False
5735,(2023 WX),2024-01-05,50637421.7920679,59465.664578394,False,21.41,138.852907036,310.4845390059,False
5736,(2023 YX),2024-01-05,26354773.33952009,24550.9579392311,False,23.34,57.0893340024,127.6556316195,False
5737,(2024 HY),2024-01-05,50459846.69689241,25849.764640261,False,23.67,49.0405098418,109.6579136575,False
5738,168318 (1989 DA),2024-01-08,17607387.097578034,31986.5321530766,True,18.91,439.0914459693,981.838321526,False
5739,(2002 AY1),2024-01-08,5803016.373182669,62421.0107180472,True,20.85,179.7028548592,401.8277992159,False
5740,(2010 XB11),2024-01-08,38275992.74612398,82978.859702174,False,19.73,300.992016548,673.0386096861,False
5741,(2012 DN31),2024-01-08,65568666.23654168,72972.4202450971,False,24.0,42.1264610556,94.1976305719,False
5742,(2017 RJ15),2024-01-08,43416265.07868939,42691.0515194642,False,21.85,113.3848360975,253.5362011316,False
5743,(2018 BW5),2024-01-08,55417734.736756496,1909.5781683299,False,22.07,102.4601474676,229.1078547221,False
5744,(2018 MH7),2024-01-08,37444684.27899578,29893.7028024022,False,26.1,16.0160337979,35.8129403019,False
5745,(2018 WA2),2024-01-08,12430132.615730776,34394.9468892197,False,22.59,80.6408276759,180.3183724451,False
5746,(2019 TY),2024-01-08,43448783.64640447,64034.6295863063,False,22.83,72.2029557657,161.4507172686,False
5747,(2022 AB),2024-01-08,73783136.66511002,72258.137061584,False,23.6,50.6471458835,113.2504610618,False
5748,(2022 BG1),2024-01-08,56116108.472152084,49373.5955071968,False,25.64,19.7949758664,44.2629116503,False
5749,(2020 AQ24),2024-01-08,38631012.60681062,67654.6269418544,False,24.98,26.8259417119,59.9846292283,False
5750,(2022 YD6),2024-01-08,33735239.56230263,57264.7339962281,False,24.18,38.7752830381,86.70416872,False
5751,(2023 UO9),2024-01-08,10059756.9835435,17215.683768265,False,22.31,91.7392059155,205.1351006288,False
5752,(2023 WS1),2024-01-08,31370938.8153801,14501.567105847,False,21.91,110.2947845322,246.6266357777,False
5753,(2024 AD2),2024-01-08,4831184.612929102,26170.7901676125,False,26.43,13.7579895932,30.7637999642,False
5754,(2024 AC3),2024-01-08,1562543.065125211,77405.0784197929,False,25.25,23.6894499356,52.9712204056,False
5755,(2024 AX3),2024-01-08,1844629.177055015,19836.792686715,False,27.67,7.7723970203,17.3796080855,False
5756,(2024 BM1),2024-01-08,5458303.012870314,26313.3215682035,False,26.04,16.4647437755,36.8162863142,False
5757,(2024 MM),2024-01-08,29701855.64783105,27845.1346011459,False,24.5,33.4622374455,74.8238376074,False
